Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,2006,Oilseed rape,000 Hectares,5.1
Area under Crops,2006,Potatoes,000 Hectares,11.5
Area under Crops,2006,Turnips,000 Hectares,
Area under Crops,2006,Sugar beet,000 Hectares,
Area under Crops,2006,Fodder beet,000 Hectares,
Area under Crops,2006,Kale and field cabbage,000 Hectares,
Area under Crops,2007,"Total wheat, oats and barley",000 Hectares,273.1
Area under Crops,2007,Total wheat,000 Hectares,84.3
Area under Crops,2007,Winter wheat,000 Hectares,64.7
Area under Crops,2007,Spring wheat,000 Hectares,19.6
Area under Crops,2007,Total oats,000 Hectares,21.3
Area under Crops,2007,Winter oats,000 Hectares,13.5
Area under Crops,2007,Spring oats,000 Hectares,7.8
Area under Crops,2007,Total barley,000 Hectares,167.5
Area under Crops,2007,Winter barley,000 Hectares,18.7
Area under Crops,2007,Spring barley,000 Hectares,148.8
Area under Crops,2007,Beans and peas,000 Hectares,2.9
Area under Crops,2007,Oilseed rape,000 Hectares,8.2
Area under Crops,2007,Potatoes,000 Hectares,11.7
Area under Crops,2007,Turnips,000 Hectares,
Area under Crops,2007,Sugar beet,000 Hectares,
Area under Crops,2007,Fodder beet,000 Hectares,
Area under Crops,2007,Kale and field cabbage,000 Hectares,
Crop Yield per Hectare,1985,"Total wheat, oats and barley",Tonnes,5.1
Crop Yield per Hectare,1985,Total wheat,Tonnes,6.4
Crop Yield per Hectare,1985,Winter wheat,Tonnes,6.5
Crop Yield per Hectare,1985,Spring wheat,Tonnes,5.8
Crop Yield per Hectare,1985,Total oats,Tonnes,5.1
Crop Yield per Hectare,1985,Winter oats,Tonnes,6.2
Crop Yield per Hectare,1985,Spring oats,Tonnes,4.4
Crop Yield per Hectare,1985,Total barley,Tonnes,4.8
Crop Yield per Hectare,1985,Winter barley,Tonnes,5.2
Crop Yield per Hectare,1985,Spring barley,Tonnes,4.8
Crop Yield per Hectare,1985,Beans and peas,Tonnes,0
Crop Yield per Hectare,1985,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1985,Potatoes,Tonnes,20.8
Crop Yield per Hectare,1985,Turnips,Tonnes,53.5
Crop Yield per Hectare,1985,Sugar beet,Tonnes,38.7
Crop Yield per Hectare,1985,Fodder beet,Tonnes,56.8
Crop Yield per Hectare,1985,Kale and field cabbage,Tonnes,44.2
Crop Yield per Hectare,1986,"Total wheat, oats and barley",Tonnes,5.2
Crop Yield per Hectare,1986,Total wheat,Tonnes,5.5
Crop Yield per Hectare,1986,Winter wheat,Tonnes,5.6
Crop Yield per Hectare,1986,Spring wheat,Tonnes,5.4
Crop Yield per Hectare,1986,Total oats,Tonnes,5.4
Crop Yield per Hectare,1986,Winter oats,Tonnes,6.4
Crop Yield per Hectare,1986,Spring oats,Tonnes,4.8
Crop Yield per Hectare,1986,Total barley,Tonnes,5.1
Crop Yield per Hectare,1986,Winter barley,Tonnes,5.2
Crop Yield per Hectare,1986,Spring barley,Tonnes,5
Crop Yield per Hectare,1986,Beans and peas,Tonnes,0
Crop Yield per Hectare,1986,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1986,Potatoes,Tonnes,20.3
Crop Yield per Hectare,1986,Turnips,Tonnes,51.6
Crop Yield per Hectare,1986,Sugar beet,Tonnes,34.4
Crop Yield per Hectare,1986,Fodder beet,Tonnes,51.1
Crop Yield per Hectare,1986,Kale and field cabbage,Tonnes,43.1
Crop Yield per Hectare,1987,"Total wheat, oats and barley",Tonnes,6
Crop Yield per Hectare,1987,Total wheat,Tonnes,6.9
Crop Yield per Hectare,1987,Winter wheat,Tonnes,7.3
Crop Yield per Hectare,1987,Spring wheat,Tonnes,6.2
Crop Yield per Hectare,1987,Total oats,Tonnes,5.8
Crop Yield per Hectare,1987,Winter oats,Tonnes,7
Crop Yield per Hectare,1987,Spring oats,Tonnes,5
Crop Yield per Hectare,1987,Total barley,Tonnes,5.8
Crop Yield per Hectare,1987,Winter barley,Tonnes,6.3
Crop Yield per Hectare,1987,Spring barley,Tonnes,5.7
Crop Yield per Hectare,1987,Beans and peas,Tonnes,0
Crop Yield per Hectare,1987,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1987,Potatoes,Tonnes,23
Crop Yield per Hectare,1987,Turnips,Tonnes,56.8
Crop Yield per Hectare,1987,Sugar beet,Tonnes,43.7
Crop Yield per Hectare,1987,Fodder beet,Tonnes,64.8
Crop Yield per Hectare,1987,Kale and field cabbage,Tonnes,52.1
Crop Yield per Hectare,1988,"Total wheat, oats and barley",Tonnes,6.4
Crop Yield per Hectare,1988,Total wheat,Tonnes,7.8
Crop Yield per Hectare,1988,Winter wheat,Tonnes,8.2
Crop Yield per Hectare,1988,Spring wheat,Tonnes,7
Crop Yield per Hectare,1988,Total oats,Tonnes,6.5
Crop Yield per Hectare,1988,Winter oats,Tonnes,7.7
Crop Yield per Hectare,1988,Spring oats,Tonnes,5.6
Crop Yield per Hectare,1988,Total barley,Tonnes,6.1
Crop Yield per Hectare,1988,Winter barley,Tonnes,6.4
Crop Yield per Hectare,1988,Spring barley,Tonnes,6
Crop Yield per Hectare,1988,Beans and peas,Tonnes,0
Crop Yield per Hectare,1988,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1988,Potatoes,Tonnes,24.8
Crop Yield per Hectare,1988,Turnips,Tonnes,51.9
Crop Yield per Hectare,1988,Sugar beet,Tonnes,40.1
Crop Yield per Hectare,1988,Fodder beet,Tonnes,63.4
Crop Yield per Hectare,1988,Kale and field cabbage,Tonnes,39
Crop Yield per Hectare,1989,"Total wheat, oats and barley",Tonnes,6
Crop Yield per Hectare,1989,Total wheat,Tonnes,7.6
Crop Yield per Hectare,1989,Winter wheat,Tonnes,8.1
Crop Yield per Hectare,1989,Spring wheat,Tonnes,6.2
Crop Yield per Hectare,1989,Total oats,Tonnes,6
Crop Yield per Hectare,1989,Winter oats,Tonnes,7.4
Crop Yield per Hectare,1989,Spring oats,Tonnes,4.9
Crop Yield per Hectare,1989,Total barley,Tonnes,5.6
Crop Yield per Hectare,1989,Winter barley,Tonnes,6.6
Crop Yield per Hectare,1989,Spring barley,Tonnes,5.5
Crop Yield per Hectare,1989,Beans and peas,Tonnes,0
Crop Yield per Hectare,1989,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1989,Potatoes,Tonnes,22.4
Crop Yield per Hectare,1989,Turnips,Tonnes,57.6
Crop Yield per Hectare,1989,Sugar beet,Tonnes,45.2
Crop Yield per Hectare,1989,Fodder beet,Tonnes,54.9
Crop Yield per Hectare,1989,Kale and field cabbage,Tonnes,39.5
Crop Yield per Hectare,1990,"Total wheat, oats and barley",Tonnes,6.6
Crop Yield per Hectare,1990,Total wheat,Tonnes,8.5
Crop Yield per Hectare,1990,Winter wheat,Tonnes,9
Crop Yield per Hectare,1990,Spring wheat,Tonnes,6.7
Crop Yield per Hectare,1990,Total oats,Tonnes,6.6
Crop Yield per Hectare,1990,Winter oats,Tonnes,7.6
Crop Yield per Hectare,1990,Spring oats,Tonnes,5.6
Crop Yield per Hectare,1990,Total barley,Tonnes,5.9
Crop Yield per Hectare,1990,Winter barley,Tonnes,7.7
Crop Yield per Hectare,1990,Spring barley,Tonnes,5.6
Crop Yield per Hectare,1990,Beans and peas,Tonnes,4.9
Crop Yield per Hectare,1990,Oilseed rape,Tonnes,3.6
Crop Yield per Hectare,1990,Potatoes,Tonnes,24.9
Crop Yield per Hectare,1990,Turnips,Tonnes,54.8
Crop Yield per Hectare,1990,Sugar beet,Tonnes,45.8
Crop Yield per Hectare,1990,Fodder beet,Tonnes,65
Crop Yield per Hectare,1990,Kale and field cabbage,Tonnes,49.5
Crop Yield per Hectare,1991,"Total wheat, oats and barley",Tonnes,6.6
Crop Yield per Hectare,1991,Total wheat,Tonnes,7.9
Crop Yield per Hectare,1991,Winter wheat,Tonnes,8.2
Crop Yield per Hectare,1991,Spring wheat,Tonnes,6.7
Crop Yield per Hectare,1991,Total oats,Tonnes,7
Crop Yield per Hectare,1991,Winter oats,Tonnes,7.8
Crop Yield per Hectare,1991,Spring oats,Tonnes,5.9
Crop Yield per Hectare,1991,Total barley,Tonnes,5.9
Crop Yield per Hectare,1991,Winter barley,Tonnes,7.9
Crop Yield per Hectare,1991,Spring barley,Tonnes,5.5
Crop Yield per Hectare,1991,Beans and peas,Tonnes,4.7
Crop Yield per Hectare,1991,Oilseed rape,Tonnes,3.7
Crop Yield per Hectare,1991,Potatoes,Tonnes,27.9
Crop Yield per Hectare,1991,Turnips,Tonnes,52.5
Crop Yield per Hectare,1991,Sugar beet,Tonnes,42.3
Crop Yield per Hectare,1991,Fodder beet,Tonnes,68.9
Crop Yield per Hectare,1991,Kale and field cabbage,Tonnes,42.2
Crop Yield per Hectare,1992,"Total wheat, oats and barley",Tonnes,6.8
Crop Yield per Hectare,1992,Total wheat,Tonnes,7.9
Crop Yield per Hectare,1992,Winter wheat,Tonnes,8
Crop Yield per Hectare,1992,Spring wheat,Tonnes,7.4
Crop Yield per Hectare,1992,Total oats,Tonnes,6.8
Crop Yield per Hectare,1992,Winter oats,Tonnes,7.4
Crop Yield per Hectare,1992,Spring oats,Tonnes,6
Crop Yield per Hectare,1992,Total barley,Tonnes,6.3
Crop Yield per Hectare,1992,Winter barley,Tonnes,7.6
Crop Yield per Hectare,1992,Spring barley,Tonnes,6
Crop Yield per Hectare,1992,Beans and peas,Tonnes,5
Crop Yield per Hectare,1992,Oilseed rape,Tonnes,3.1
Crop Yield per Hectare,1992,Potatoes,Tonnes,28.9
Crop Yield per Hectare,1992,Turnips,Tonnes,55.5
Crop Yield per Hectare,1992,Sugar beet,Tonnes,44.6
Crop Yield per Hectare,1992,Fodder beet,Tonnes,70.6
Crop Yield per Hectare,1992,Kale and field cabbage,Tonnes,48.8
Crop Yield per Hectare,1993,"Total wheat, oats and barley",Tonnes,5.8
Crop Yield per Hectare,1993,Total wheat,Tonnes,6.8
Crop Yield per Hectare,1993,Winter wheat,Tonnes,6.7
Crop Yield per Hectare,1993,Spring wheat,Tonnes,7.1
Crop Yield per Hectare,1993,Total oats,Tonnes,6.4
Crop Yield per Hectare,1993,Winter oats,Tonnes,7
Crop Yield per Hectare,1993,Spring oats,Tonnes,5.5
Crop Yield per Hectare,1993,Total barley,Tonnes,5.3
Crop Yield per Hectare,1993,Winter barley,Tonnes,6.1
Crop Yield per Hectare,1993,Spring barley,Tonnes,5.1
Crop Yield per Hectare,1993,Beans and peas,Tonnes,4.3
Crop Yield per Hectare,1993,Oilseed rape,Tonnes,2.7
Crop Yield per Hectare,1993,Potatoes,Tonnes,26.3
Crop Yield per Hectare,1993,Turnips,Tonnes,52.3
Crop Yield per Hectare,1993,Sugar beet,Tonnes,34.7
Crop Yield per Hectare,1993,Fodder beet,Tonnes,54.9
Crop Yield per Hectare,1993,Kale and field cabbage,Tonnes,43
Crop Yield per Hectare,1994,"Total wheat, oats and barley",Tonnes,6.1
Crop Yield per Hectare,1994,Total wheat,Tonnes,7.7
Crop Yield per Hectare,1994,Winter wheat,Tonnes,8.1
Crop Yield per Hectare,1994,Spring wheat,Tonnes,6.4
Crop Yield per Hectare,1994,Total oats,Tonnes,6.1
Crop Yield per Hectare,1994,Winter oats,Tonnes,6.9
Crop Yield per Hectare,1994,Spring oats,Tonnes,4.7
Crop Yield per Hectare,1994,Total barley,Tonnes,5.4
Crop Yield per Hectare,1994,Winter barley,Tonnes,6.8
Crop Yield per Hectare,1994,Spring barley,Tonnes,5
Crop Yield per Hectare,1994,Beans and peas,Tonnes,4.5
Crop Yield per Hectare,1994,Oilseed rape,Tonnes,2.6
Crop Yield per Hectare,1994,Potatoes,Tonnes,30.1
Crop Yield per Hectare,1994,Turnips,Tonnes,53.1
Crop Yield per Hectare,1994,Sugar beet,Tonnes,39.3
Crop Yield per Hectare,1994,Fodder beet,Tonnes,59
Crop Yield per Hectare,1994,Kale and field cabbage,Tonnes,44.5
Crop Yield per Hectare,1995,"Total wheat, oats and barley",Tonnes,6.7
Crop Yield per Hectare,1995,Total wheat,Tonnes,8.2
Crop Yield per Hectare,1995,Winter wheat,Tonnes,8.7
Crop Yield per Hectare,1995,Spring wheat,Tonnes,7
Crop Yield per Hectare,1995,Total oats,Tonnes,6.5
Crop Yield per Hectare,1995,Winter oats,Tonnes,7.2
Crop Yield per Hectare,1995,Spring oats,Tonnes,5.7
Crop Yield per Hectare,1995,Total barley,Tonnes,6.1
Crop Yield per Hectare,1995,Winter barley,Tonnes,6.8
Crop Yield per Hectare,1995,Spring barley,Tonnes,5.9
Crop Yield per Hectare,1995,Beans and peas,Tonnes,4
Crop Yield per Hectare,1995,Oilseed rape,Tonnes,3.3
Crop Yield per Hectare,1995,Potatoes,Tonnes,27.6
Crop Yield per Hectare,1995,Turnips,Tonnes,54.1
Crop Yield per Hectare,1995,Sugar beet,Tonnes,44.1
Crop Yield per Hectare,1995,Fodder beet,Tonnes,66.8
Crop Yield per Hectare,1995,Kale and field cabbage,Tonnes,39
Crop Yield per Hectare,1996,"Total wheat, oats and barley",Tonnes,7.4
Crop Yield per Hectare,1996,Total wheat,Tonnes,9
Crop Yield per Hectare,1996,Winter wheat,Tonnes,9.4
Crop Yield per Hectare,1996,Spring wheat,Tonnes,7.5
Crop Yield per Hectare,1996,Total oats,Tonnes,7
Crop Yield per Hectare,1996,Winter oats,Tonnes,7.6
Crop Yield per Hectare,1996,Spring oats,Tonnes,6.1
Crop Yield per Hectare,1996,Total barley,Tonnes,6.8
Crop Yield per Hectare,1996,Winter barley,Tonnes,8
Crop Yield per Hectare,1996,Spring barley,Tonnes,6.4
Crop Yield per Hectare,1996,Beans and peas,Tonnes,4.5
Crop Yield per Hectare,1996,Oilseed rape,Tonnes,2.9
Crop Yield per Hectare,1996,Potatoes,Tonnes,30.2
Crop Yield per Hectare,1996,Turnips,Tonnes,57.8
Crop Yield per Hectare,1996,Sugar beet,Tonnes,45.7
Crop Yield per Hectare,1996,Fodder beet,Tonnes,73.7
Crop Yield per Hectare,1996,Kale and field cabbage,Tonnes,40.8
Crop Yield per Hectare,1997,"Total wheat, oats and barley",Tonnes,6.4
Crop Yield per Hectare,1997,Total wheat,Tonnes,7.7
Crop Yield per Hectare,1997,Winter wheat,Tonnes,8
Crop Yield per Hectare,1997,Spring wheat,Tonnes,6.8
Crop Yield per Hectare,1997,Total oats,Tonnes,6.4
Crop Yield per Hectare,1997,Winter oats,Tonnes,7.4
Crop Yield per Hectare,1997,Spring oats,Tonnes,5.2
Crop Yield per Hectare,1997,Total barley,Tonnes,5.7
Crop Yield per Hectare,1997,Winter barley,Tonnes,7
Crop Yield per Hectare,1997,Spring barley,Tonnes,5.4
Crop Yield per Hectare,1997,Beans and peas,Tonnes,4
Crop Yield per Hectare,1997,Oilseed rape,Tonnes,2.7
Crop Yield per Hectare,1997,Potatoes,Tonnes,25.9
Crop Yield per Hectare,1997,Turnips,Tonnes,55
Crop Yield per Hectare,1997,Sugar beet,Tonnes,51
Crop Yield per Hectare,1997,Fodder beet,Tonnes,66.2
Crop Yield per Hectare,1997,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,1998,"Total wheat, oats and barley",Tonnes,6.3
Crop Yield per Hectare,1998,Total wheat,Tonnes,8
Crop Yield per Hectare,1998,Winter wheat,Tonnes,8.1
Crop Yield per Hectare,1998,Spring wheat,Tonnes,7.7
Crop Yield per Hectare,1998,Total oats,Tonnes,6.1
Crop Yield per Hectare,1998,Winter oats,Tonnes,6.6
Crop Yield per Hectare,1998,Spring oats,Tonnes,5.3
Crop Yield per Hectare,1998,Total barley,Tonnes,5.6
Crop Yield per Hectare,1998,Winter barley,Tonnes,6.4
Crop Yield per Hectare,1998,Spring barley,Tonnes,5.4
Crop Yield per Hectare,1998,Beans and peas,Tonnes,5
Crop Yield per Hectare,1998,Oilseed rape,Tonnes,2.9
Crop Yield per Hectare,1998,Potatoes,Tonnes,26.1
Crop Yield per Hectare,1998,Turnips,Tonnes,45.3
Crop Yield per Hectare,1998,Sugar beet,Tonnes,49.8
Crop Yield per Hectare,1998,Fodder beet,Tonnes,64.8
Crop Yield per Hectare,1998,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,1999,"Total wheat, oats and barley",Tonnes,7.2
Crop Yield per Hectare,1999,Total wheat,Tonnes,8.8
Crop Yield per Hectare,1999,Winter wheat,Tonnes,9.4
Crop Yield per Hectare,1999,Spring wheat,Tonnes,7.8
Crop Yield per Hectare,1999,Total oats,Tonnes,6.7
Crop Yield per Hectare,1999,Winter oats,Tonnes,7.8
Crop Yield per Hectare,1999,Spring oats,Tonnes,6.1
Crop Yield per Hectare,1999,Total barley,Tonnes,6.7
Crop Yield per Hectare,1999,Winter barley,Tonnes,7.6
Crop Yield per Hectare,1999,Spring barley,Tonnes,6.5
Crop Yield per Hectare,1999,Beans and peas,Tonnes,4.5
Crop Yield per Hectare,1999,Oilseed rape,Tonnes,1.9
Crop Yield per Hectare,1999,Potatoes,Tonnes,32
Crop Yield per Hectare,1999,Turnips,Tonnes,42
Crop Yield per Hectare,1999,Sugar beet,Tonnes,50.7
Crop Yield per Hectare,1999,Fodder beet,Tonnes,70.4
Crop Yield per Hectare,1999,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2000,"Total wheat, oats and barley",Tonnes,7.8
Crop Yield per Hectare,2000,Total wheat,Tonnes,9.5
Crop Yield per Hectare,2000,Winter wheat,Tonnes,9.9
Crop Yield per Hectare,2000,Spring wheat,Tonnes,8.1
Crop Yield per Hectare,2000,Total oats,Tonnes,7.5
Crop Yield per Hectare,2000,Winter oats,Tonnes,8.3
Crop Yield per Hectare,2000,Spring oats,Tonnes,6.5
Crop Yield per Hectare,2000,Total barley,Tonnes,7.2
Crop Yield per Hectare,2000,Winter barley,Tonnes,8.4
Crop Yield per Hectare,2000,Spring barley,Tonnes,7
Crop Yield per Hectare,2000,Beans and peas,Tonnes,5.1
Crop Yield per Hectare,2000,Oilseed rape,Tonnes,3.2
Crop Yield per Hectare,2000,Potatoes,Tonnes,33.6
Crop Yield per Hectare,2000,Turnips,Tonnes,60
Crop Yield per Hectare,2000,Sugar beet,Tonnes,56.8
Crop Yield per Hectare,2000,Fodder beet,Tonnes,70.3
Crop Yield per Hectare,2000,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2001,"Total wheat, oats and barley",Tonnes,7.6
Crop Yield per Hectare,2001,Total wheat,Tonnes,9.1
Crop Yield per Hectare,2001,Winter wheat,Tonnes,9.8
Crop Yield per Hectare,2001,Spring wheat,Tonnes,8
Crop Yield per Hectare,2001,Total oats,Tonnes,7.1
Crop Yield per Hectare,2001,Winter oats,Tonnes,8
Crop Yield per Hectare,2001,Spring oats,Tonnes,6.6
Crop Yield per Hectare,2001,Total barley,Tonnes,7
Crop Yield per Hectare,2001,Winter barley,Tonnes,8
Crop Yield per Hectare,2001,Spring barley,Tonnes,6.9
Crop Yield per Hectare,2001,Beans and peas,Tonnes,4.7
Crop Yield per Hectare,2001,Oilseed rape,Tonnes,3
Crop Yield per Hectare,2001,Potatoes,Tonnes,33.5
Crop Yield per Hectare,2001,Turnips,Tonnes,54.4
Crop Yield per Hectare,2001,Sugar beet,Tonnes,48.2
Crop Yield per Hectare,2001,Fodder beet,Tonnes,65.5
Crop Yield per Hectare,2001,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2002,"Total wheat, oats and barley",Tonnes,6.6
Crop Yield per Hectare,2002,Total wheat,Tonnes,8.4
Crop Yield per Hectare,2002,Winter wheat,Tonnes,8.8
Crop Yield per Hectare,2002,Spring wheat,Tonnes,7.2
Crop Yield per Hectare,2002,Total oats,Tonnes,7.1
Crop Yield per Hectare,2002,Winter oats,Tonnes,7.8
Crop Yield per Hectare,2002,Spring oats,Tonnes,5.9
Crop Yield per Hectare,2002,Total barley,Tonnes,5.5
Crop Yield per Hectare,2002,Winter barley,Tonnes,6.6
Crop Yield per Hectare,2002,Spring barley,Tonnes,5.3
Crop Yield per Hectare,2002,Beans and peas,Tonnes,4.5
Crop Yield per Hectare,2002,Oilseed rape,Tonnes,3.1
Crop Yield per Hectare,2002,Potatoes,Tonnes,33.7
Crop Yield per Hectare,2002,Turnips,Tonnes,54.4
Crop Yield per Hectare,2002,Sugar beet,Tonnes,41.6
Crop Yield per Hectare,2002,Fodder beet,Tonnes,60.9
Crop Yield per Hectare,2002,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2003,"Total wheat, oats and barley",Tonnes,7.2
Crop Yield per Hectare,2003,Total wheat,Tonnes,8.3
Crop Yield per Hectare,2003,Winter wheat,Tonnes,8.7
Crop Yield per Hectare,2003,Spring wheat,Tonnes,7.6
Crop Yield per Hectare,2003,Total oats,Tonnes,7.4
Crop Yield per Hectare,2003,Winter oats,Tonnes,8.1
Crop Yield per Hectare,2003,Spring oats,Tonnes,6.8
Crop Yield per Hectare,2003,Total barley,Tonnes,6.5
Crop Yield per Hectare,2003,Winter barley,Tonnes,7.7
Crop Yield per Hectare,2003,Spring barley,Tonnes,6.4
Crop Yield per Hectare,2003,Beans and peas,Tonnes,4.8
Crop Yield per Hectare,2003,Oilseed rape,Tonnes,3.1
Crop Yield per Hectare,2003,Potatoes,Tonnes,34.5
Crop Yield per Hectare,2003,Turnips,Tonnes,
Crop Yield per Hectare,2003,Sugar beet,Tonnes,47.7
Crop Yield per Hectare,2003,Fodder beet,Tonnes,
Crop Yield per Hectare,2003,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2004,"Total wheat, oats and barley",Tonnes,8.2
Crop Yield per Hectare,2004,Total wheat,Tonnes,9.9
Crop Yield per Hectare,2004,Winter wheat,Tonnes,10.5
Crop Yield per Hectare,2004,Spring wheat,Tonnes,8.6
Crop Yield per Hectare,2004,Total oats,Tonnes,7.8
Crop Yield per Hectare,2004,Winter oats,Tonnes,8.3
Crop Yield per Hectare,2004,Spring oats,Tonnes,6.8
Crop Yield per Hectare,2004,Total barley,Tonnes,7.3
Crop Yield per Hectare,2004,Winter barley,Tonnes,8.2
Crop Yield per Hectare,2004,Spring barley,Tonnes,7.1
Crop Yield per Hectare,2004,Beans and peas,Tonnes,5.4
Crop Yield per Hectare,2004,Oilseed rape,Tonnes,3
Crop Yield per Hectare,2004,Potatoes,Tonnes,41.4
Crop Yield per Hectare,2004,Turnips,Tonnes,
Crop Yield per Hectare,2004,Sugar beet,Tonnes,59.8
Crop Yield per Hectare,2004,Fodder beet,Tonnes,
Crop Yield per Hectare,2004,Kale and field cabbage,Tonnes,
Crop Yield per Hectare,2005,"Total wheat, oats and barley",Tonnes,7
Crop Yield per Hectare,2005,Total wheat,Tonnes,8.4
Crop Yield per Hectare,2005,Winter wheat,Tonnes,8.8
Crop Yield per Hectare,2005,Spring wheat,Tonnes,7.6
Crop Yield per Hectare,2005,Total oats,Tonnes,6.7
Crop Yield per Hectare,2005,Winter oats,Tonnes,7.3
Crop Yield per Hectare,2005,Spring oats,Tonnes,6.1
Crop Yield per Hectare,2005,Total barley,Tonnes,6.2
Crop Yield per Hectare,2005,Winter barley,Tonnes,7.4
Crop Yield per Hectare,2005,Spring barley,Tonnes,6.1
Crop Yield per Hectare,2005,Beans and peas,Tonnes,5.1
Crop Yield per Hectare,2005,Oilseed rape,Tonnes,3.8
